"78: ESRI Demographics - Popn count (2015) (per 100,000)",0.49452215,0.60201687,A
21: 2016 ELECTION - (%),0.858597,0.69712144,A
466: COVID_06-17-2020 - Case rate (per million) (per million),0.52731514,0.66597235,A
467: COVID_06-17-2020 - Death rate (per million) (per million),1.8325556e-16,0.8100697,B
468: COVID_06-17-2020 - Worst week - cases (weekly cases per million) (per million),0.5976719,0.53529316,A
469: COVID_06-17-2020 - Worst week - deaths (weekly deaths per million) (per million),0.73405886,0.5629987,A
470: COVID_05-7-2020 - Case rate (per million) (per million),0.40616414,0.67584264,A
471: COVID_05-7-2020 - Death rate (per million) (per million),1.8325556e-16,0.65253884,B
472: COVID_05-7-2020 - Worst week - cases (weekly cases per million) (per million),0.36973086,0.55746305,A
473: COVID_05-7-2020 - Worst week - deaths (weekly deaths per million) (per million),1.8325556e-16,0.36473793,B
"121: ESRI Demographics - Number of farms (per 100,000)",0.8039217,0.50404054,A
81: ESRI Demographics - Popn density (2010) (ppl/mi2),0.41253898,0.5504312,A
79: ESRI Demographics - Popn density (2015) (ppl/mi2),0.4113562,0.5506952,A
"197: - Gun shops (per 100,000)",0.70456123,0.5693134,A
"198: - All fire businesses (per 100,000)",0.7165617,0.5757665,A
266: County Health - Dentists (Dentist Rate),0.5930382,0.7088328,A
331: County Health - Demographics (% African American),0.63103735,0.66693574,A
295: County Health - Premature age-adjusted mortality (Age-Adjusted Mortality (Hispanic)),0.80855894,0.63997006,A
"118: ESRI Demographics - Vacant housing (per 100,000)",0.7468789,0.55839694,A
437: Cities - LargetCity-County popn ratio (ppl/mi2),0.2799979,0.41813257,A
"117: ESRI Demographics - Number of housing units (per 100,000)",0.7854809,0.63435465,A
"112: ESRI Demographics - Household (married w/o children) (per 100,000)",0.8449393,0.69176364,A
"122: ESRI Demographics - Average farm size (per 100,000)",0.6809519,0.485028,A
265: County Health - Primary care physicians (PCP Rate),0.67124873,0.6954958,A
287: County Health - Air pollution - particulate matter (Average Daily PM2.5),0.8074006,0.7068604,A
308: County Health - HIV prevalence (HIV Prevalence Rate),0.6845078,0.6324227,A
"428: 2016 Crime - ROBBERY (per 100,000)",1.8325556e-16,0.9881169,B
"109: ESRI Demographics - Household (one male) (per 100,000)",0.7898345,0.6406653,A
216: CDC WONDER - Suicide rate (rate),0.7751864,0.6222265,A
203: USDA Rural Influence - RUCC_2013 (#),1.0,0.3004449,A
"431: 2016 Crime - LARCENY (per 100,000)",0.6642321,0.7626446,A
"123: ESRI Demographics - Acreage of crops (per 100,000)",0.7191936,0.35699058,A
105: ESRI Demographics - Median age (male) (years),0.834783,0.6827965,A
182: 2010 IRS Taxes - State-local taxes ($/person),0.6288642,0.6879906,A
"114: ESRI Demographics - Household (female w/ children) (per 100,000)",0.8011292,0.6954733,A
243: County Health - Premature death (Years of Potential Life Lost Rate (Hispanic)),0.73449343,0.5778029,A
316: County Health - Uninsured children (% Uninsured),0.8093631,0.6406231,A
"100: ESRI Demographics - Popn: Age 55-64 (per 100,000)",0.82866263,0.6814308,A
"83: ESRI Demographics - Popn: Black (per 100,000)",0.592746,0.679643,A
104: ESRI Demographics - Median age (years),0.8359263,0.68535817,A
"86: ESRI Demographics - Popn: Hawaii/PI (per 100,000)",0.31022733,0.5467571,A
310: County Health - Limited access to healthy foods (% Limited Access),0.7540792,0.6159211,A
339: County Health - Demographics (% Rural),0.8900774,0.616153,A
"97: ESRI Demographics - Popn: Age 25-34 (per 100,000)",0.79995304,0.6910533,A
"102: ESRI Demographics - Popn: Age 75-84 (per 100,000)",0.80703306,0.6531336,A
399: Climate Change Survey - governor (%),0.8048759,0.70601815,A
"101: ESRI Demographics - Popn: Age 65-74 (per 100,000)",0.82062715,0.6639564,A
400: Climate Change Survey - governorOppose (%),0.8461427,0.68451655,A
"430: 2016 Crime - BURGLRY (per 100,000)",0.61847967,0.71943545,A
"462: Religion - Black Protestant (per 1,000)",0.7485437,0.5817958,A
258: County Health - Alcohol-impaired driving deaths (# Alcohol-Impaired Driving Deaths),0.6169193,0.58423096,A
"427: 2016 Crime - RAPE (per 100,000)",0.26778722,0.8128657,B
286: County Health - Injury deaths (Injury Death Rate),0.804642,0.65474993,A
"432: 2016 Crime - MVTHEFT (per 100,000)",0.5246676,0.7587734,A
"168: 2010 IRS Taxes - Joint returns (per 100,000)",0.786772,0.6544507,A
106: ESRI Demographics - Median age (female) (years),0.83754504,0.68800503,A
377: Climate Change Survey - regulate (%),0.8094383,0.70989233,A
314: County Health - Insufficient sleep (% Insufficient Sleep),0.8047421,0.7073072,A
180: 2010 IRS Taxes - State-local taxes ($M),0.5844791,0.65539944,A
378: Climate Change Survey - regulateOppose (%),0.8491615,0.680976,A
"119: ESRI Demographics - Owner-occupied housing (per 100,000)",0.85039043,0.703519,A
330: County Health - Demographics (% 65 and over),0.8129224,0.6616914,A
"107: ESRI Demographics - House-holds (per 100,000)",0.8201246,0.6805393,A
372: Climate Change Survey - personalOppose (%),0.8567126,0.70404184,A
285: County Health - Violent crime (Violent Crime Rate),0.70816314,0.68446547,A
