Name,S1,S2,S3,S4,S5,S6,Cluster
"COLUMN:  78  - Popn count (2015) (per 100,000)",9.181713e-6,7.43022e-15,0.0049163047,5.6382123e-16,0.02814849,0.00092186185,D
COLUMN: 21 | CATEGORY: '2016 ELECTION' | VARIABLE: '' | UNITS: '(%)'' | COVERAGE: '100.0%',0.69802386,0.84445816,0.11312308,0.2686331,0.06817355,0.00455706,C
COLUMN: 998 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.0169304e-16,0.028196814,0.020397278,5.6382123e-16,0.021188224,0.20495783,F
COLUMN: 999 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.0169304e-16,4.004139e-16,1.9782588e-16,5.6382123e-16,3.7700714e-16,0.4320905,F
COLUMN: 1000 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.9281305e-11,0.024502847,0.004086125,0.0016008472,3.7700714e-16,0.07892586,F
COLUMN: 1001 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '78.5%',4.0169304e-16,4.004139e-16,0.024417644,5.6382123e-16,0.093687706,0.26420397,F
COLUMN: 1002 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.019749315,0.07576635,0.016948173,5.6382123e-16,0.12738973,0.39183348,F
COLUMN: 1003 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.0169304e-16,4.004139e-16,1.9782588e-16,5.6382123e-16,3.7700714e-16,0.6990427,F
COLUMN: 1004 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '95.7%',4.0169304e-16,0.051029697,1.9782588e-16,0.03780547,0.016685197,0.124238536,F
COLUMN: 1005 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '59.9%',0.029238407,0.15975913,0.038063046,0.40194744,3.7700714e-16,0.37030625,F
COLUMN: 1006 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.26237518,0.16206777,1.9782588e-16,0.00020573697,0.6800963,0.53475535,F
COLUMN: 1007 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.0169304e-16,4.004139e-16,1.9782588e-16,5.6382123e-16,0.07010592,0.8623339,F
COLUMN: 1008 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '98.8%',0.04544459,0.07107234,1.9782588e-16,0.08323501,0.14571983,0.14071842,F
COLUMN: 1009 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '70.5%',0.037719604,0.23507057,0.02772868,0.5052554,3.7700714e-16,0.47845384,F
COLUMN: 1010 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.64948165,0.30022287,1.9782588e-16,0.2866504,0.9992203,0.6037875,F
COLUMN: 1011 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.124529764,4.004139e-16,1.9782588e-16,4.5673245e-15,0.286202,1.0,F
COLUMN: 1012 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '99.5%',0.092443235,0.11581317,1.9782588e-16,0.21161842,0.14335918,0.13800392,F
COLUMN: 1013 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '79.3%',0.077836655,0.308699,1.1762417e-13,0.6466493,2.5839064e-9,0.3367767,F
COLUMN: 197 | CATEGORY: 'ATF' | VARIABLE: 'Gun shops' | UNITS: '(count)'' | COVERAGE: '97.9%',0.009705099,0.08937619,0.004825111,0.043674994,3.7700714e-16,9.1786006e-17,C
COLUMN: 827 | CATEGORY: 'US Polciy Database' | VARIABLE: 'RNTGP Renter grace period or use of security deposit to pay rent renter_grace start date' | UNITS: 'Date'' | COVERAGE: '0.9%',4.0169304e-16,4.004139e-16,1.9782588e-16,5.6382123e-16,3.7700714e-16,9.1786006e-17,A
COLUMN: 198 | CATEGORY: 'ATF' | VARIABLE: 'All fire busin-esses' | UNITS: '(count)'' | COVERAGE: '98.2%',0.0116458945,0.103417374,0.006255602,0.04867732,3.7700714e-16,9.1786006e-17,C
