AL Autauga,0.67073464,0.31928423,0.11594882,0.41644096,C
AL Baldwin,0.6630527,0.3204415,0.11737731,0.41921806,C
AL Barbour,0.44931525,0.34887165,0.18167987,0.47631475,C
AL Bibb,0.612494,0.03670599,0.46822682,0.3026538,A
AL Blount,0.64027476,0.04385868,0.40542042,0.3904793,A
AL Bullock,0.70344543,0.017746441,0.4060298,0.37774956,A
AL Butler,0.7128001,0.016288701,0.39652747,0.39677948,A
AL Calhoun,0.7018542,0.0074489284,0.41180652,0.3961681,A
AL Chambers,0.7102559,0.01938209,0.39175582,0.4012724,A
AL Cherokee,0.5004375,0.038999256,0.41526994,0.5544881,A
AL Chilton,0.6378062,0.07474498,0.36769933,0.4119567,A
AL Choctaw,0.39120468,0.051543962,0.6419703,0.17170906,B
AL Clarke,0.49864653,0.017616468,0.43700352,0.5557838,A
AL Clay,0.49013495,0.058461387,0.52169514,0.29915732,A
AL Cleburne,0.6901337,0.0841253,0.3223311,0.43359366,A
AL Coffee,0.49875328,0.026329556,0.42621627,0.5632033,A
AL Colbert,0.6978457,0.022142692,0.39616433,0.4015932,A
AL Conecuh,0.49791285,0.032313477,0.4324283,0.5327943,A
AL Coosa,0.49542877,0.023505092,0.4359661,0.5361976,A
AL Covington,0.69120914,0.016261311,0.40676847,0.39833686,A
AL Crenshaw,0.50504994,0.02565848,0.42745385,0.5536086,A
AL Cullman,0.4926727,0.022524431,0.42913216,0.5604244,A
AL Dale,0.27184498,0.14621879,0.32448906,0.79011214,B
AL Dallas,0.7080707,0.021638758,0.38959,0.4053852,A
AL DeKalb,0.49313864,0.027062776,0.41896683,0.5728707,A
AL Elmore,0.7030863,0.020458179,0.39572087,0.39859337,A
AL Escambia,0.70116544,0.019436652,0.39859992,0.39861706,A
AL Etowah,0.70491034,0.010336606,0.40509534,0.40108266,A
AL Fayette,0.26856387,0.04027907,0.52409595,0.58395416,B
AL Franklin,0.50007635,0.027539387,0.42269844,0.5651166,A
AL Geneva,0.0015853862,0.04335768,0.48978338,0.97140694,B
AL Greene,0.49078232,0.067009054,0.44474196,0.4146014,A
AL Hale,0.7142939,0.021461349,0.40050218,0.36101624,A
AL Henry,0.70399886,0.024395965,0.39361998,0.39579615,A
AL Houston,0.70055413,0.021468686,0.39488018,0.4036713,A
AL Jackson,0.49332196,0.020301804,0.43535584,0.55917734,A
AL Jefferson,0.92626506,0.045398533,0.34469998,0.18775243,A
AL Lamar,0.2677371,0.04315385,0.45239556,0.73853564,B
AL Lauderdale,0.6952681,0.023544697,0.3958648,0.40235502,A
AL Lawrence,0.0015858453,0.03867054,0.496014,0.9666388,B
AL Lee,0.7099452,0.019418428,0.3910143,0.39676103,A
AL Limestone,0.2616271,0.029590353,0.527123,0.6182275,B
AL Lowndes,0.70152,0.14116117,0.27550396,0.39241824,A
AL Macon,0.7135802,0.0048616244,0.4058479,0.39057505,A
AL Madison,0.7017455,0.004721501,0.41681504,0.39215326,A
